date,shift,wait_min,complaint,weekend,monday
2026-08-01,Manhã,2.0164462349584995,0,True,False
2026-08-01,Manhã,3.876125852282149,0,True,False
2026-08-01,Manhã,4.6139609831357555,0,True,False
2026-08-01,Manhã,3.87195826119322,0,True,False
2026-08-01,Manhã,2.2178464264560587,0,True,False
2026-08-01,Manhã,6.5358796414165425,0,True,False
2026-08-01,Manhã,3.787720300072738,0,True,False
2026-08-01,Manhã,5.1938025245189285,0,True,False
2026-08-01,Manhã,4.524491803480713,0,True,False
2026-08-01,Manhã,4.836373683115227,0,True,False
2026-08-01,Manhã,11.08729603362493,0,True,False
2026-08-01,Manhã,2.2883478316420156,0,True,False
2026-08-01,Manhã,2.087496875423823,0,True,False
2026-08-01,Manhã,5.043951345169193,0,True,False
2026-08-01,Manhã,5.808510315723774,0,True,False
2026-08-01,Manhã,4.868450970716551,0,True,False
2026-08-01,Manhã,2.8080212944102594,0,True,False
2026-08-01,Manhã,4.7571091571501665,0,True,False
2026-08-01,Manhã,5.274368171731643,0,True,False
2026-08-01,Manhã,6.471388034218155,0,True,False
2026-08-01,Manhã,4.916007367575012,0,True,False
2026-08-01,Manhã,6.412032121660731,0,True,False
2026-08-01,Manhã,4.423996873673604,0,True,False
2026-08-01,Manhã,5.009298976974181,0,True,False
2026-08-01,Manhã,5.438577214142279,0,True,False
2026-08-01,Manhã,2.440573099521499,0,True,False
2026-08-01,Manhã,3.180243121346437,0,True,False
2026-08-01,Manhã,6.279209960632635,0,True,False
2026-08-01,Manhã,5.164079190912283,0,True,False
2026-08-01,Manhã,2.2321387680883036,0,True,False
2026-08-01,Manhã,2.074588852410838,0,True,False
2026-08-01,Manhã,3.320291850079913,0,True,False
2026-08-01,Manhã,4.966268595629723,0,True,False
2026-08-01,Manhã,3.7853007888109507,0,True,False
2026-08-01,Manhã,4.982059769410584,0,True,False
2026-08-01,Manhã,5.77020001695113,0,True,False
2026-08-01,Manhã,7.608889683973606,0,True,False
2026-08-01,Manhã,5.444074251295817,0,True,False
2026-08-01,Manhã,8.277811792901616,0,True,False
2026-08-01,Manhã,4.442182879637738,0,True,False
2026-08-01,Manhã,3.256972006091059,0,True,False
2026-08-01,Manhã,3.3887376955458395,0,True,False
